Site_No,Samp_No,Location,Analysis,CAS_NO,Analyte,Total_Or_Disolved,Result,Result_Units,Detected,Result_Qualifier,SampleDate,SampleTime,MDL,MDL_Units,Reporting_Limit,Reporting_Limit_Units,Matrix,Latitude,Longitude,QA_Comment
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7440-48-4,"Cobalt, Dissolved",D,0.86,ug/L,Y,,12-Aug-15,15:45,0.12,ug/L,0.4,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7440-66-6,Zinc,T,210,ug/L,Y,,12-Aug-15,15:45,2.8,ug/L,20,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7440-39-3,Barium,T,22,ug/L,Y,,12-Aug-15,15:45,0.14,ug/L,2,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7440-22-4,Silver,T,0.1,ug/L,N,U,12-Aug-15,15:45,0.1,ug/L,1,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,CC48_081215,CC48,200.8 Metals (ICP/MS),7440-66-6,Zinc,T,2800,ug/L,Y,,12-Aug-15,15:30,2.8,ug/L,20,ug/L,Surface Water,37.819984,-107.663275,L2 Val
A8K9,A68_081215,A68,200.8 Metals (ICP/MS),7440-62-2,"Vanadium, Dissolved",D,0.3,ug/L,N,U,12-Aug-15,15:45,0.3,ug/L,1,ug/L,Surface Water,37.811202,-107.659167,L2 Val
A8K9,GKMSW02_081215,Bakers Bridge,200.7 Metals (ICP),7440-09-7,Potassium,T,850,ug/L,Y,J,12-Aug-15,10:50,17,ug/L,1000,ug/L,Surface Water,37.454134,-107.801601,L2 Val
A8K9,GKMSW02_081215,Bakers Bridge,200.7 Metals (ICP),7440-09-7,"Potassium, Dissolved",D,810,ug/L,Y,J,12-Aug-15,10:50,17,ug/L,1000,ug/L,Surface Water,37.454134,-107.801601,L2 Val
A8K9,GKMSW02_081215,Bakers Bridge,200.8 Metals (ICP/MS),7782-49-2,Selenium,T,2,ug/L,Y,UB,12-Aug-15,10:50,0.58,ug/L,2,ug/L,Surface Water,37.454134,-107.801601,L2 Val
A8K9,GKMSW02_081215,Bakers Bridge,200.8 Metals (ICP/MS),7782-49-2,"Selenium, Dissolved",D,0.58,ug/L,N,U,12-Aug-15,10:50,0.58,ug/L,2,ug/L,Surface Water,37.454134,-107.801601,L2 Val
A8K9,GKMSW02_081215,Bakers Bridge,200.8 Metals (ICP/MS),7440-22-4,Silver,T,0.1,ug/L,N,U,12-Aug-15,10:50,0.1,ug/L,1,ug/L,Surface Water,37.454134,-107.801601,L2 Val
